name;setting;category;short_desc;extra_desc;context;vartype;source;min_val;max_val
"log_min_messages";"notice";"Reporting and Logging / When to Log";"Sets the message levels that are logged.";"Valid values are DEBUG5, DEBUG4, DEBUG3, DEBUG2, DEBUG1, INFO, NOTICE, WARNING, ERROR, LOG, FATAL, and PANIC. Each level includes all the levels that follow it.";"superuser";"string";"default";"";""
"log_parser_stats";"off";"Statistics / Monitoring";"Writes parser performance statistics to the server log.";"";"superuser";"bool";"default";"";""
"log_planner_stats";"off";"Statistics / Monitoring";"Writes planner performance statistics to the server log.";"";"superuser";"bool";"default";"";""
"log_rotation_age";"1440";"Reporting and Logging / Where to Log";"Automatic log file rotation will occur after N minutes";"";"sighup";"integer";"default";"0";"35791394"
"log_rotation_size";"10240";"Reporting and Logging / Where to Log";"Automatic log file rotation will occur after N kilobytes";"";"sighup";"integer";"default";"0";"2097151"
"log_statement";"none";"Reporting and Logging / What to Log";"Sets the type of statements logged.";"Valid values are ""none"", ""ddl"", ""mod"", and ""all"".";"superuser";"string";"default";"";""
"log_statement_stats";"off";"Statistics / Monitoring";"Writes cumulative performance statistics to the server log.";"";"superuser";"bool";"default";"";""
"log_truncate_on_rotation";"off";"Reporting and Logging / Where to Log";"Truncate existing log files of same name during log rotation.";"";"sighup";"bool";"default";"";""
"maintenance_work_mem";"16384";"Resource Usage / Memory";"Sets the maximum memory to be used for maintenance operations.";"This includes operations such as VACUUM and CREATE INDEX.";"user";"integer";"default";"1024";"2097151"
"max_connections";"100";"Connections and Authentication / Connection Settings";"Sets the maximum number of concurrent connections.";"";"postmaster";"integer";"configuration file";"1";"262143"
"max_files_per_process";"1000";"Resource Usage / Kernel Resources";"Sets the maximum number of simultaneously open files for each server process.";"";"postmaster";"integer";"default";"25";"2147483647"
"max_fsm_pages";"20000";"Resource Usage / Free Space Map";"Sets the maximum number of disk pages for which free space is tracked.";"";"postmaster";"integer";"default";"1000";"2147483647"
"max_fsm_relations";"1000";"Resource Usage / Free Space Map";"Sets the maximum number of tables and indexes for which free space is tracked.";"";"postmaster";"integer";"default";"100";"2147483647"
"max_function_args";"32";"Preset Options";"Shows the maximum number of function arguments.";"";"internal";"integer";"default";"32";"32"
"max_identifier_length";"63";"Preset Options";"Shows the maximum identifier length";"";"internal";"integer";"default";"63";"63"
"max_index_keys";"32";"Preset Options";"Shows the maximum number of index keys.";"";"internal";"integer";"default";"32";"32"
"max_locks_per_transaction";"64";"Lock Management";"Sets the maximum number of locks per transaction.";"The shared lock table is sized on the assumption that at most max_locks_per_transaction * max_connections distinct objects will need to be locked at any one time.";"postmaster";"integer";"default";"10";"2147483647"
"max_stack_depth";"2048";"Resource Usage / Memory";"Sets the maximum stack depth, in kilobytes.";"";"superuser";"integer";"default";"100";"2097151"
"password_encryption";"on";"Connections and Authentication / Security and Authentication";"Encrypt passwords.";"When a password is specified in CREATE USER or ALTER USER without writing either ENCRYPTED or UNENCRYPTED, this parameter determines whether the password is to be encrypted.";"user";"bool";"default";"";""
"port";"5432";"Connections and Authentication / Connection Settings";"Sets the TCP port the server listens on.";"";"postmaster";"integer";"configuration file";"1";"65535"
"pre_auth_delay";"0";"Developer Options";"no description available";"";"sighup";"integer";"default";"0";"60"
"preload_libraries";"unset";"Resource Usage / Kernel Resources";"Lists shared libraries to preload into server.";"";"postmaster";"string";"default";"";""
"random_page_cost";"4";"Query Tuning / Planner Cost Constants";"Sets the planner's estimate of the cost of a nonsequentially fetched disk page.";"This is measured as a multiple of the cost of a sequential page fetch. A higher value makes it more likely a sequential scan will be used, a lower value makes it more likely an index scan will be used.";"user";"real";"default";"0";"1.79769e+308"
"redirect_stderr";"on";"Reporting and Logging / Where to Log";"Start a subprocess to capture stderr output into log files.";"";"postmaster";"bool";"configuration file";"";""
"regex_flavor";"advanced";"Version and Platform Compatibility / Previous PostgreSQL Versions";"Sets the regular expression ""flavor"".";"This can be set to advanced, extended, or basic.";"user";"string";"default";"";""
"rendezvous_name";"unset";"Connections and Authentication / Connection Settings";"Sets the Rendezvous broadcast service name.";"";"postmaster";"string";"default";"";""
"search_path";"$user,public";"Client Connection Defaults / Statement Behavior";"Sets the schema search order for names that are not schema-qualified.";"";"user";"string";"default";"";""
"server_encoding";"SQL_ASCII";"Client Connection Defaults / Locale and Formatting";"Sets the server (database) character set encoding.";"";"internal";"string";"override";"";""
"server_version";"8.0.0beta5";"Preset Options";"Shows the server version.";"";"internal";"string";"default";"";""
"shared_buffers";"1000";"Resource Usage / Memory";"Sets the number of shared memory buffers used by the server.";"";"postmaster";"integer";"configuration file";"16";"262143"
"silent_mode";"off";"Reporting and Logging / When to Log";"Runs the server silently.";"If this parameter is set, the server will automatically run in the background and any controlling terminals are dissociated.";"postmaster";"bool";"default";"";""
"sql_inheritance";"on";"Version and Platform Compatibility / Previous PostgreSQL Versions";"Causes subtables to be included by default in various commands.";"";"user";"bool";"default";"";""
"ssl";"off";"Connections and Authentication / Security and Authentication";"Enables SSL connections.";"";"postmaster";"bool";"default";"";""
"statement_timeout";"0";"Client Connection Defaults / Statement Behavior";"Sets the maximum allowed duration (in milliseconds) of any statement.";"A value of 0 turns off the timeout.";"user";"integer";"default";"0";"2147483647"
"stats_block_level";"off";"Statistics / Query and Index Statistics Collector";"Collects block-level statistics on database activity.";"";"superuser";"bool";"default";"";""
"stats_command_string";"off";"Statistics / Query and Index Statistics Collector";"Collects statistics about executing commands.";"Enables the collection of statistics on the currently executing command of each session, along with the time at which that command began execution.";"superuser";"bool";"default";"";""
"stats_reset_on_server_start";"on";"Statistics / Query and Index Statistics Collector";"Zeroes collected statistics on server restart.";"";"postmaster";"bool";"default";"";""
"stats_row_level";"off";"Statistics / Query and Index Statistics Collector";"Collects row-level statistics on database activity.";"";"superuser";"bool";"default";"";""
"stats_start_collector";"on";"Statistics / Query and Index Statistics Collector";"Starts the server statistics-collection subprocess.";"";"postmaster";"bool";"default";"";""
"superuser_reserved_connections";"2";"Connections and Authentication / Connection Settings";"Sets the number of connection slots reserved for superusers.";"";"postmaster";"integer";"default";"0";"262143"
"TimeZone";"CET";"Client Connection Defaults / Locale and Formatting";"Sets the time zone for displaying and interpreting time stamps.";"";"user";"string";"command line";"";""
"trace_notify";"off";"Developer Options";"Generates debugging output for LISTEN and NOTIFY.";"";"user";"bool";"default";"";""
"transaction_isolation";"read committed";"Client Connection Defaults / Statement Behavior";"Sets the current transaction's isolation level.";"";"user";"string";"override";"";""
"transaction_read_only";"off";"Client Connection Defaults / Statement Behavior";"Sets the current transaction's read-only status.";"";"user";"bool";"override";"";""
"transform_null_equals";"off";"Version and Platform Compatibility / Other Platforms and Clients";"Treats ""expr=NULL"" as ""expr IS NULL"".";"When turned on, expressions of the form expr = NULL (or NULL = expr) are treated as expr IS NULL, that is, they return true if expr evaluates to the null value, and false otherwise. The correct behavior of expr = NULL is to always return null (unknown).";"user";"bool";"default";"";""
"unix_socket_directory";"unset";"Connections and Authentication / Connection Settings";"Sets the directory where the Unix-domain socket will be created.";"";"postmaster";"string";"default";"";""
"unix_socket_group";"unset";"Connections and Authentication / Connection Settings";"Sets the owning group of the Unix-domain socket.";"(The owning user of the socket is always the user that starts the server.)";"postmaster";"string";"default";"";""
"unix_socket_permissions";"511";"Connections and Authentication / Connection Settings";"Sets the access permissions of the Unix-domain socket.";"Unix-domain sockets use the usual Unix file system permission set. The parameter value is expected to be an numeric mode specification in the form accepted by the chmod and umask system calls. (To use the customary octal format the number must start with a 0 (zero).)";"postmaster";"integer";"default";"0";"511"
"vacuum_cost_delay";"0";"Resource Usage";"Vacuum cost delay in milliseconds.";"";"user";"integer";"default";"0";"1000"
"vacuum_cost_limit";"200";"Resource Usage";"Vacuum cost amount available before napping.";"";"user";"integer";"default";"1";"10000"
"vacuum_cost_page_dirty";"20";"Resource Usage";"Vacuum cost for a page dirtied by vacuum.";"";"user";"integer";"default";"0";"10000"
"vacuum_cost_page_hit";"1";"Resource Usage";"Vacuum cost for a page found in the buffer cache.";"";"user";"integer";"default";"0";"10000"
"vacuum_cost_page_miss";"10";"Resource Usage";"Vacuum cost for a page not found in the buffer cache.";"";"user";"integer";"default";"0";"10000"
"wal_buffers";"8";"Write-Ahead Log / Settings";"Sets the number of disk-page buffers in shared memory for WAL.";"";"postmaster";"integer";"default";"4";"262143"
"wal_sync_method";"fsync";"Write-Ahead Log / Settings";"Selects the method used for forcing WAL updates out to disk.";"";"sighup";"string";"default";"";""
"work_mem";"1024";"Resource Usage / Memory";"Sets the maximum memory to be used for query workspaces.";"This much memory may be used by each internal sort operation and hash table before switching to temporary disk files.";"user";"integer";"default";"64";"2097151"
"zero_damaged_pages";"off";"Developer Options";"Continues processing past damaged page headers.";"Detection of a damaged page header normally causes PostgreSQL to report an error, aborting the current transaction. Setting zero_damaged_pages to true causes the system to instead report a warning, zero out the damaged page, and continue processing. This behavior will destroy data, namely all the rows on the damaged page.";"superuser";"bool";"default";"";""
